RowID,OrderID,OrderDate,ShipDate,CustomerName,CustomerID,TotalCost,Frequency
1,CA-2017-152156,2017-11-08,2017-11-11,Claire Gute,CG-12520,993.9,2
2,CA-2017-138688,2017-06-12,2017-06-16,Darrin Van Huff,DV-13045,14.62,1
3,US-2016-108966,2016-10-11,2016-10-18,Sean O'Donnell,SO-20335,979.95,2
4,CA-2015-115812,2015-06-09,2015-06-14,Brosina Hoffman,BH-11710,3714.29,7
5,CA-2018-114412,2018-04-15,2018-04-20,Andrew Allen,AA-10480,15.552,1
6,CA-2017-161389,2017-12-05,2017-12-10,Irene Maddox,IM-15070,407.976,1
7,US-2016-118983,2016-11-22,2016-11-26,Harold Pawlan,HP-14815,71.35,2
8,CA-2015-105893,2015-11-11,2015-11-18,Pete Kriz,PK-19075,665.88,1
9,CA-2015-167164,2015-05-13,2015-05-15,Alejandro Grove,AG-10270,55.5,1
10,CA-2015-143336,2015-08-27,2015-09-01,Zuschuss Donatelli,ZD-21925,244.76,3
11,CA-2017-137330,2017-12-09,2017-12-13,Ken Black,KB-16585,79.8,2
12,US-2018-156909,2018-07-16,2018-07-18,Sandra Flanagan,SF-20065,71.372,1
13,CA-2016-106320,2016-09-25,2016-09-30,Emily Burns,EB-13870,1044.63,1
14,CA-2017-121755,2017-01-16,2017-01-20,Eric Hoffmann,EH-13945,102.22,2
15,US-2016-150630,2016-09-17,2016-09-21,Tracy Blumstein,TB-21520,3329.43,7
16,CA-2018-107727,2018-10-19,2018-10-23,Matt Abelman,MA-17560,29.472,1
17,CA-2017-117590,2017-12-08,2017-12-10,Gene Hale,GH-14485,1288.46,2
18,CA-2016-117415,2016-12-27,2016-12-31,Steve Nguyen,SN-20710,1228.96,4
19,CA-2018-120999,2018-09-10,2018-09-15,Linda Cazamias,LC-16930,147.168,1
20,CA-2017-101343,2017-07-17,2017-07-22,Ruben Ausman,RA-19885,77.88,1
21,CA-2018-139619,2018-09-19,2018-09-23,Erin Smith,ES-14080,95.616,1
22,CA-2017-118255,2017-03-11,2017-03-13,Odella Nelson,ON-18715,63.44,2
23,CA-2015-146703,2015-10-20,2015-10-25,Patrick O'Donnell,PO-18865,211.96,1
24,CA-2017-169194,2017-06-20,2017-06-25,Lena Hernandez,LH-16900,66.8,2
25,CA-2016-115742,2016-04-18,2016-04-22,Darren Powers,DP-13000,209.55,4
